ENERGY

Level 		 Data 		 Effective
 1S 		 -1.568947 	 -1.568855
 2S 		 -0.196019 	 -0.196705
 3S 		 -0.075052 	 -0.073267
 4S 		 -0.039067 	 -0.038214
 5S 		 -0.023876 	 -0.023433
 6S 		 -0.016085 	 -0.015829

MOMENTUM TO THE FOURTH

Level 		 Data 		 Effective
 1S	 	 38.516873	71.864757
 2S	 	 42.707563	27.401977
 3S	 	 11.210705	6.303391
 4S	 	 4.304471	2.425931
 5S	 	 2.078301	1.182077
 6S	 	 1.156637	0.662937

SQUARED EIGENFUNCTION IN THE ORIGIN

Level 		 Data 		 Effective
 1S 		6.248048  	3.390654
 2S 		1.947068  	0.571029
 3S 		0.461223  	0.119049
 4S 		0.170792  	0.044096
 5S 		0.08099  	0.021047
 6S 		0.044593  	0.011652
